Gene,log2FC,pvalue,FDR
Gas2l2,-1.60577473,0.028448725,0.039442641
Taf15,0.213711124,0.000489323,0.000794519
Ppm1d,1.692249087,3.33E-156,8.87E-155
Tubd1,0.208440696,0.001719771,0.002679043
Ptrh2,1.227745048,1.09E-99,1.53E-98
Dhx40,-0.14127009,0.003975791,0.00600346
Smg8,-0.444352339,5.46E-10,1.22E-09
Ska2,2.172409816,2.18E-203,9.13E-202
Tex14,-0.890061031,0.000492921,0.000800141
Septin4,-1.481147753,1.06E-26,3.94E-26
Mtmr4,-0.45251861,9.36E-22,3.05E-21
Supt4h1,0.730773952,9.59E-42,5.06E-41
Tspoap1,1.118691964,1.34E-12,3.30E-12
Lpo,-2.6993144,7.26E-13,1.81E-12
Mks1,-1.112123073,1.55E-70,1.41E-69
Vezf1,0.199481046,0.000735245,0.001179198
Tom1l1,1.235484927,1.36E-56,9.63E-56
Wfikkn2,-2.796905622,4.92E-09,1.05E-08
Lrrc59,-0.502246545,3.78E-14,9.87E-14
Eme1,4.643968516,2.73E-296,2.23E-294
Mrpl27,0.470490367,3.38E-11,7.90E-11
Samd14,-1.14709692,5.69E-08,1.16E-07
Slc35b1,-0.218300266,5.22E-07,1.02E-06
Phospho1,2.678210768,9.40E-52,6.07E-51
Snf8,-0.550018091,9.12E-18,2.67E-17
Ttll6,-2.092541656,0.000124851,0.000211485
Hoxb9,-0.463965277,0.033232444,0.045749122
Mrpl45,0.575117502,1.53E-35,7.01E-35
Socs7,0.226736122,0.001796897,0.002793746
Cisd3,-1.199726515,2.91E-15,7.88E-15
Pcgf2,-1.106252378,6.80E-29,2.66E-28
Ccr7,1.281642491,1.11E-09,2.43E-09
Krt13,-6.134622021,2.24E-48,1.36E-47
Krt14,-4.415220128,5.72E-19,1.73E-18
Eif1,0.412212589,3.00E-08,6.22E-08
Klhl11,-0.40963529,0.00410465,0.006187616
Nkiras2,-0.107789652,0.045144328,0.061103986
Rab5c,-0.172791436,0.000992642,0.001575954
Cavin1,-3.674777254,2.04E-142,4.72E-141
Coasy,-0.36945835,2.28E-09,4.94E-09
Wnk4,0.51242347,0.003007361,0.004588199
Psme3,0.503294551,2.51E-45,1.43E-44
Ifi35,0.544295833,7.31E-20,2.27E-19
Vat1,-1.035259431,4.34E-26,1.59E-25
Tmem106a,-0.639659383,3.20E-11,7.49E-11
Dhx8,0.593031179,5.02E-49,3.09E-48
Lsm12,0.35980932,1.31E-11,3.13E-11
Atxn7l3,-0.197740835,0.000125209,0.000212067
Higd1b,-4.152171713,5.07E-86,5.80E-85
Eftud2,0.325057215,2.16E-16,6.07E-16
Plcd3,-3.050300349,6.34E-46,3.67E-45
Fmnl1,1.232910201,2.49E-28,9.61E-28
Prp2l1,-1.677589239,4.50E-09,9.63E-09
Prr29,0.336073723,0.000196724,0.000328733
Ddx5,-0.422939031,6.99E-15,1.87E-14
Cep95,1.273156236,1.36E-50,8.62E-50
Smndc1,0.649077471,3.15E-51,2.02E-50
Psmd12,0.431696034,7.71E-16,2.13E-15
Helz,-0.618090647,2.34E-21,7.54E-21
Cep112,-1.508481869,7.77E-25,2.75E-24
Abca9,-1.999559338,1.37E-26,5.07E-26
