Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Cellular_Component_2021__caveola (GO:0005901),-0.4530875018748529,-1.9234706307233136,0.0,0.014243421704834757,0.6,25/50,22.88%,Cav1;Cav2;Ehd2;Kcna5;Cavin1;Bmpr1a;Dlc1;Cavin3;Nos3;Irs1;Asah2;Smo;Bmpr2;Plvap;Tgfbr2;Cavin2;Emp2;Cdh13;Plpp1;Scarb1;Lrp6;Ptgis;Fxyd1;Cd36;Insr
prerank,GO_Biological_Process_2021__cardiac conduction system development (GO:0003161),-0.6274613759736537,-1.9216099977711583,0.0,0.01460644744543774,0.61,12/20,22.70%,Gata6;Gata4;Bmpr1a;Gja5;Cacna1g;Msx1;Hey1;Tbx18;Msc;Msx2;Hcn4;Bmp4
prerank,GO_Biological_Process_2021__vasculogenesis (GO:0001570),-0.5676952459593759,-1.9213376971075806,0.0,0.01460120087667142,0.62,14/28,18.24%,Wt1;Cav1;Aplnr;Sox17;Has2;Adm;Wnt7b;Tgfbr3;Tgfbr2;Vegfa;Eng;Cul7;Pdgfrb;Kdr
prerank,GO_Biological_Process_2021__regulation of megakaryocyte differentiation (GO:0045652),0.5449392772965791,1.9198626409232094,0.0,0.004417809357348446,0.62,13/49,14.63%,Gata1;Nfe2;H3c1;Hmgb2;Gp1ba;Itga2b;Pf4;Tesc;H3c13;Prkcq;L3mbtl1;Zfpm1;Runx1
prerank,GO_Biological_Process_2021__regulation of developmental growth (GO:0048638),-0.5665770124766161,-1.9193854298526856,0.0,0.01495496310741934,0.63,9/26,16.00%,Lep;Ghr;Eppk1;Igf1;Spaar;Dll1;App;Plcb1;Lats2
prerank,GO_Biological_Process_2021__mitotic cell cycle phase transition (GO:0044772),0.43172753432812294,1.917161076751273,0.0,0.004672809897464308,0.64,63/186,24.70%,Nek2;Ccnb2;Ube2c;Cdkn3;Cdc25b;Ccna2;Ccnf;Ccnb1;Cdk1;Plk1;Ccne1;Tuba4a;Plk4;Cep72;Dbf4;Aurka;Mastl;Haus4;Melk;Tacc3;Foxm1;Skp2;Pole;Bora;Cdkn2d;Pkmyt1;Nasp;Cep76;Ccne2;Camk2a;Ube2s;Rcc1;Ccnd3;Chek2;Haus8;Cdc7;Tpd52l1;Ush1c;Cdc25a;Cep135;Btrc;E2f1;Ccnjl;Cep70;Cdc25c;Cep57;Inhba;Usp37;Gpr132;Tubb4b;Tubb4a;Ccni;Cdk5rap2;Cdkn1b;Cdk2;Bcat1;Ccp110;Kdm8;Cep152;Ckap5;Cdc34;Crlf3;Rb1
prerank,GO_Biological_Process_2021__circulatory system development (GO:0072359),-0.41348091868535153,-1.9164173933677662,0.0,0.015302729368154582,0.64,34/98,20.42%,Tcf21;Wt1;Crb2;Col3a1;Hspg2;Isl1;Osr1;Plce1;Aplnr;Pcsk5;Flrt3;Rbp4;Fbn1;Cacna1c;Heg1;Sox17;Foxf1;Cdh5;Ece1;Ntrk3;Zfpm2;Acvrl1;Notch4;Tgfbr2;Prickle4;Tek;Hey1;Pkd2;Hand2;Gli2;Cdkn1a;Tgfb2;Acvr1;Hand1
prerank,GO_Biological_Process_2021__negative regulation of cell migration (GO:0030336),-0.41747389366217597,-1.916346206291665,0.0,0.015174135003716309,0.64,44/119,17.52%,Dpep1;Acvr1c;Podn;Adipoq;Col3a1;Igfbp3;Tmeff2;Ptprr;Fgf2;Nav3;Eppk1;Bmpr1a;Dpysl3;Dlc1;Jag1;Ptprg;Kank1;Ngfr;Stc1;Robo1;Krt16;Nog;Epha4;Ptprk;Igfbp5;Sulf1;Acvrl1;Nexmif;Lrp1;Cldn5;Eng;Rhob;Dag1;Hoxa7;Tcaf1;Cx3cl1;Mcc;Afdn;Reck;Wnt11;Serpine1;Phldb2;Dlg5;Dab2ip
prerank,KEGG_2021_Human__Renin secretion,-0.4781311106608425,-1.9155047859442267,0.0,0.01528098130316108,0.64,21/50,22.99%,Adrb3;Pde1b;Agt;Gucy1a2;Ednra;Gnai1;Pde3b;Cacna1c;Adrb1;Adcyap1r1;Adcy5;Ace;Adora1;Plcb1;Edn1;Prkg2;Itpr2;Npr1;Plcb4;Itpr1;Adcy6
prerank,"GO_Biological_Process_2021__RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.4361390429048462,1.9154716995320644,0.0,0.0047676520983492825,0.64,189/220,46.25%,Bcas2;Clp1;Lsm2;Snrpf;Rbm15;Gemin6;Snrpg;Ppil1;Pabpc1;Lsm4;Snrpd1;Ddx39a;Alyref;Snrpa;Srsf3;Lsm7;Lsm3;Sf3b6;Snrpd2;Lsm5;Snrnp25;Tra2b;Upf3b;Bud31;Hnrnpd;Hnrnpf;Magohb;Hnrnpm;Snrnp40;Ppih;Snrpe;Isy1;Gtf2f2;Hnrnpa1;Rnps1;Snrpa1;Prpf38a;Wdr83;Ncbp1;Rbmx2;Hnrnpa3;Sf3a3;Srsf1;Srrt;Polr2g;Hnrnpc;Dbr1;Rbm8a;Rbm17;Ptbp1;Ppil3;Pspc1;Wbp11;Snrpb2;Srsf4;Sf3a2;Hnrnpul1;Dnajc8;Snrpd3;Srsf7;Snrpb;Prpf4;Srsf10;U2af1;Hnrnpa2b1;Ess2;Sart3;Cpsf2;Sf3b3;Zmat2;Lsm8;Usp39;Ppie;Nudt21;Elavl1;Rbm14;Snrnp27;Usp49;Polr2i;Hnrnpk;Ccar1;Magoh;Cstf2;Cdc5l;Sfpq;Ddx46;Nono;Cd2bp2;Slu7;Rbm10;Cactin;Ddx23;Cwc27;Prpf40a;Gemin7;Bud13;Prcc;Raver1;Sf3b5;Snu13;Srsf6;Cstf1;U2af2;Ddx39b;Hnrnpu;Ppwd1;Prpf4b;Smndc1;Cpsf4;Snrpc;Prpf31;Ik;Polr2d;Dhx15;Cwc22;Phf5a;Zcchc8;Polr2c;Dhx8;Papola;Polr2l;Sf3b4;Syf2;Sf3b2;Polr2k;Rbm5;Eif4a3;Frg1;Srsf2;Sf3a1;Hnrnph1;Polr2h;Xab2;Rbm22;Puf60;U2surp;Lsm6;Pcbp1;Hnrnpl;Pdcd7;Hnrnph3;Wdr33;Srrm1;Pqbp1;Gtf2f1;U2af1l4;Sf1;Fip1l1;Smu1;Pabpn1;Wbp4;Prpf19;Snw1;Pnn;Cwc25;Eftud2;Crnkl1;Ythdc1;Snip1;Syncrip;Cwc15;Ddx41;Polr2j;Rbm15b;Cwf19l2;Polr2b;Dhx16;Prpf3;Plrg1;Sart1;Ubl5;Dhx9;Cpsf7;Tra2a;Pcbp2;Cstf3;Mtrex;Rbm6;Snrnp35;Zcrb1;Hspa8;Ddx42;Pcf11;Rbm41;Txnl4a;Cwf19l1;Ctnnbl1;Dhx38;Raly
prerank,GO_Biological_Process_2021__regulation of heart rate by cardiac conduction (GO:0086091),-0.5453093853149162,-1.9141684448019762,0.0,0.015386061548069575,0.64,24/31,34.54%,Cav1;Kcnh2;Isl1;Kcnd3;Kcne2;Kcna5;Kcne4;Cacna1c;Scn2b;Trpm4;Dsg2;Cacna1g;Dsp;Cacnb2;Ank2;Hcn4;Cacna2d1;Dsc2;Kcnq1;Jup;Kcne3;Pkp2;Cacna1d;Scn5a
